Date,Open,High,Low,Close,Volume,Market Cap
01-01-2023,16547.914397871536,16630.43900271543,16521.233430528962,16625.08055070908,9244361699.89,320025834692.4
31-12-2022,16603.67470264306,16628.986997303513,16517.519222395018,16547.49536601617,11239186456.23,318516317872.25
30-12-2022,16641.329824264532,16643.427409572592,16408.475176826076,16602.585155770088,15929162909.56,319559502979.58
29-12-2022,16552.322490686318,16651.75666380368,16508.683153231756,16642.342671885614,14472237478.79,320309344585.85
28-12-2022,16716.40022056822,16768.170355524755,16497.557038840765,16552.571736514474,17005713920.05,318567071312.32
27-12-2022,16919.291650123574,16959.846476047544,16642.073182208023,16717.17398012714,15748580239.21,321717198701.45
26-12-2022,16842.249310575324,16920.123640467442,16812.370075923343,16919.80517492847,11886957803.69,325604307791.2
25-12-2022,16847.505364105884,16860.553971121557,16755.253233558044,16841.98705228377,11656379938.06,324093186300.93
24-12-2022,16796.976619520563,16864.702878905566,16793.528184511397,16847.755265154647,9744636213.3,324190184505.64
23-12-2022,16829.643586035916,16905.219359989063,16794.459352221234,16796.952171216344,15329265212.56,323203056785.65
22-12-2022,16818.380287653727,16866.674326763485,16592.40745444739,16830.341423934446,16441573050.1,323831438044.37
21-12-2022,16904.527354049867,16916.79988236787,16755.91221318602,16817.53438655099,14882945044.81,323570505189.58
20-12-2022,16441.786800099886,17012.984705296407,16427.867238763847,16906.30521042145,22722096614.76,325263465984.55
19-12-2022,16759.04092682387,16807.526574065127,16398.136251675314,16439.679646162964,17221074813.55,316271488936.78
18-12-2022,16795.6092258732,16815.386575543896,16697.82003455788,16757.977403246638,10924354698.17,322379914497.22
17-12-2022,16646.982567247887,16800.590192749856,16614.02894738076,16795.09096721353,14463581825.22,323078968931.9
16-12-2022,17364.546443268817,17505.5250524957,16584.70139828051,16647.48347882862,24031608959.5,320225997953.71
15-12-2022,17813.644122701808,17846.744460573012,17322.590067121728,17364.864911262914,20964448340.77,334010450284.36
14-12-2022,17782.066878037138,18318.53058436097,17652.09831268358,17652.09831268358,25900123362.05,339521782853.53
13-12-2022,17206.440483921902,17930.086838900843,17111.76315246234,17781.318835459824,26634741631.05,341988994228.35
12-12-2022,17102.50064945091,17212.56387663098,16899.39378501017,17206.438300671838,19617581340.83,330914961275.37
11-12-2022,17129.71133330881,17245.635283908436,17091.819989740216,17104.192805716193,14122486832.21,328933297475.65
10-12-2022,17134.221365280508,17216.82559261347,17120.684322763056,17128.723710215563,12706781968.8,329389313682.63
09-12-2022,17232.148002630023,17280.546164948628,17100.836249754095,17133.1520141413,20328426366.41,329458400093.47
08-12-2022,16847.350249703974,17267.91576301951,16788.783823541482,17233.474019915124,20496603769.86,331370511897.98
07-12-2022,17089.506270186645,17109.377493895725,16750.55813442861,16848.127628900518,19675404388.75,323943465219.08
06-12-2022,16975.23912418603,17091.86417510719,16939.922348926935,17089.503706009797,19889922369.03,328566216152.49
05-12-2022,17128.894080449645,17378.15331028325,16922.431868759784,16974.825665133598,22209086834.09,326346115859.9
04-12-2022,16908.170477079635,17157.767239586625,16903.439827645885,17130.485947216774,16824520830.08,329323845088.74
03-12-2022,17090.098485075916,17116.04080553255,16888.140807160373,16908.236795124038,16217776703.79,325037180854.75
02-12-2022,16968.683261479262,17088.660409402313,16877.88159587772,17088.660409402313,19539705127.46,328491679165.28
